Category,Room,Sub-Index/Mode,Action,Value,HEX Command
Light,0,Index 0,ON,-,AA5530BC000E00010000FF00000000000000FA0D0D
Light,0,Index 0,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 1,ON,-,AA5530BC000E0001000000FF000000000000FA0D0D
Light,0,Index 1,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 2,ON,-,AA5530BC000E000100000000FF0000000000FA0D0D
Light,0,Index 2,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 3,ON,-,AA5530BC000E00010000000000FF00000000FA0D0D
Light,0,Index 3,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 4,ON,-,AA5530BC000E0001000000000000FF000000FA0D0D
Light,0,Index 4,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 5,ON,-,AA5530BC000E000100000000000000FF0000FA0D0D
Light,0,Index 5,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 6,ON,-,AA5530BC000E00010000000000000000FF00FA0D0D
Light,0,Index 6,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,Index 7,ON,-,AA5530BC000E0001000000000000000000FFFA0D0D
Light,0,Index 7,OFF,-,AA5530BC000E000100000000000000000000FB0D0D
Light,0,All,Query,-,AA5530BC000E000100000000000000000000FB0D0D
Light,1,Index 0,ON,-,AA5530BC000E01010000FF00000000000000FB0D0D
Light,1,Index 0,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
Light,1,Index 1,ON,-,AA5530BC000E0101000000FF000000000000FB0D0D
Light,1,Index 1,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
Light,1,Index 2,ON,-,AA5530BC000E010100000000FF0000000000FB0D0D
Light,1,Index 2,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
Light,1,Index 3,ON,-,AA5530BC000E01010000000000FF00000000FB0D0D
Light,1,Index 3,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
Light,1,Index 4,ON,-,AA5530BC000E0101000000000000FF000000FB0D0D
Light,1,Index 4,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
Light,1,Index 5,ON,-,AA5530BC000E010100000000000000FF0000FB0D0D
Light,1,Index 5,OFF,-,AA5530BC000E010100000000000000000000FC0D0D
